Rank,Last_Name,First_Name,Weight_Class,BW,Club,YOB,Date,Total,Class,Competition_Group_Current_Age,BW_Sinclair
1,Chui,Jonathan,73,72.84,MSC,1998,2024-10-05 00:00:00,277,Int. 2,Sr,373.9003560565828
2,Severo,Jaxon,102,102.0,FSA,2005,2024-11-16 00:00:00,317,Int. 1,Jr,360.61855539297386
3,Cathcart-McKinnon,Aaron,102,101.9,MB,1997,2024-10-05 00:00:00,315,Int. 1,Sr,358.4849090340148
4,Cachia,Damien,73,71.7,UNA,1994,2024-10-05 00:00:00,263,Sr. Nats,Sr,358.48430285886667
5,Lo,Derek,96,95.5,UNA,1995,2024-10-05 00:00:00,303,Sr. Nats,Sr,354.4277671325346
6,Klassen,Martin,109+,131.55,OPF,2002,2024-12-17 00:00:00,336,Sr. Nats,Sr,352.1262495673239
7,Pretty,Andrew,96,96.0,GGW,1992,2024-09-21 00:00:00,300,Sr. Nats,Sr,350.10951552027404
8,Luck,Mitchell,102,100.71,UNA,1996,2024-12-17 00:00:00,303,Sr. Nats,Sr,346.4793915126011
9,Browne,Jordan,89,89.0,MB,1997,2024-11-16 00:00:00,286,Sr. Nats,Sr,345.7088829267917
10,Lorenzo,Dave,73,73.0,OPF,1998,2024-06-29 00:00:00,250,Sr. Nats,Sr,337.00159807118115
11,Melemenis,Chris,81,80.6,VAL,1989,2024-10-05 00:00:00,264,Sr. Nats,Mstr,335.96609251372166
12,Urquhart,Colin,89,88.97,FRP,1994,2024-12-17 00:00:00,270,Prov. 1,Sr,326.42222750564406
13,Kent,Miles,81,79.7,GGW,1997,2024-10-05 00:00:00,253,Prov. 1,Sr,323.9755042322643
14,Taborda,Jhonatan,73,73.0,OPF,2002,2024-06-29 00:00:00,238,Prov. 1,Sr,320.82552136376444
15,McIntyre,Brandon,81,76.79,GGW,2004,2024-06-14 00:00:00,241,Prov. 2,Jr,315.20866710086904
16,Flores,Russell,73,72.16,UNA,1985,2024-10-05 00:00:00,228,Prov. 2,Mstr,309.5443105082601
17,Plisov,Oleg,109,107.0,UNA,1996,2024-11-16 00:00:00,277,Prov. 2,Sr,309.3278252774758
18,Bird,Cole,89,88.55,UNA,1996,2024-12-17 00:00:00,249,Prov. 2,Sr,301.7320712632712
19,Whalen,Lee,89,87.7,OPF,2000,2024-10-05 00:00:00,247,Prov. 2,Sr,300.7384520334649
20,Sandee,Adrian,81,77.6,OPF,1989,2024-12-17 00:00:00,230,Prov. 3,Mstr,299.00492519050846
21,Truong,Dennis,81,80.0,TOP,2001,2024-06-29 00:00:00,230,Prov. 3,Sr,293.9085670436712
22,Blakely,Zachary,81,80.25,OPF,1999,2024-12-17 00:00:00,229,Prov. 3,Sr,292.12543715039163
23,Chhay,Danny,61,59.48,TOP,2002,2024-12-17 00:00:00,188,Prov. 3,Sr,291.0960959163564
24,Lacomel,Darryn,61,61.0,OPF,1995,2024-10-05 00:00:00,191,Prov. 3,Sr,290.3214704949246
25,Korte,Michael,109+,136.0,PPL,1990,2024-06-29 00:00:00,279,Prov. 2,Sr,290.1409101632264
26,Feng,Jacob,81,81.0,MSC,2000,2024-12-17 00:00:00,227,Prov. 3,Sr,288.09644744006295
27,Ng,Zachary,81,74.09,PAN,1993,2024-09-07 00:00:00,215,Prov. 3,Sr,287.2228333453792
28,Huynh,Albert,81,79.88,SYN,1991,2024-10-05 00:00:00,223,Prov. 3,Sr,285.2011677587332
29,Lieu,Evan,67,64.7,MSC,1997,2024-10-05 00:00:00,195,Prov. 3,Sr,284.32161791905787
